,Día,Fecha,Hora,Local,xG,Marcador,Visitante,Asistencia,Sedes,Árbitro,Informe del partido
190,Vie,2023-02-10,20:30 ,Schalke 04,,,Wolfsburg,,Veltins-Arena,,Cara a cara
191,Sáb,2023-02-11,15:30 ,Bayern Munich,,,Bochum,,Allianz Arena,,Cara a cara
192,Sáb,2023-02-11,15:30 ,Mainz 05,,,Augsburg,,Mewa Arena,,Cara a cara
193,Sáb,2023-02-11,15:30 ,Freiburg,,,Stuttgart,,Europa-Park Stadion,,Cara a cara
194,Sáb,2023-02-11,15:30 ,Hoffenheim,,,Leverkusen,,PreZero Arena,,Cara a cara
195,Sáb,2023-02-11,15:30 ,Werder Bremen,,,Dortmund,,Wohninvest-Weserstadion,,Cara a cara
196,Sáb,2023-02-11,18:30 ,RB Leipzig,,,Union Berlin,,Red Bull Arena,,Cara a cara
197,Dom,2023-02-12,15:30 ,Hertha BSC,,,M'Gladbach,,Olympiastadion Berlin,,Cara a cara
198,Dom,2023-02-12,17:30 ,Köln,,,Eint Frankfurt,,RheinEnergieSTADION,,Cara a cara
199,,,,,,,,,,,
200,Vie,2023-02-17,20:30 ,Augsburg,,,Hoffenheim,,WWK Arena,,Cara a cara
201,Sáb,2023-02-18,15:30 ,Wolfsburg,,,RB Leipzig,,Volkswagen Arena,,Cara a cara
202,Sáb,2023-02-18,15:30 ,M'Gladbach,,,Bayern Munich,,Stadion im Borussia-Park,,Cara a cara
203,Sáb,2023-02-18,15:30 ,Bochum,,,Freiburg,,Vonovia Ruhrstadion,,Cara a cara
204,Sáb,2023-02-18,15:30 ,Stuttgart,,,Köln,,Mercedes-Benz Arena,,Cara a cara
205,Sáb,2023-02-18,18:30 ,Eint Frankfurt,,,Werder Bremen,,Deutsche Bank Park,,Cara a cara
206,Dom,2023-02-19,15:30 ,Union Berlin,,,Schalke 04,,Stadion An der Alten Försterei,,Cara a cara
207,Dom,2023-02-19,17:30 ,Dortmund,,,Hertha BSC,,Signal Iduna Park,,Cara a cara
